YEAR,MONTH,CITY,REALSUM,ROOM_TYPE,HOST_IS_SUPERHOST,MULTI,BIZ,GUEST_SATISFACTION_OVERALL,BEDROOMS,DIST,LNG,LAT,CLEANLINESS_RATING,HOST_RESPONSE_TIME,REVIEWS_PER_MONTH
2021,october,brussels,174.18,entire home/apt,true,false,yes,3.5,5.0,0.57,24.733322,48.058747,3.6,6.8,6.9
2015,october,istanbul,420.33,private room,false,false,yes,4.9,2.0,5.56,10.306975,51.237013,4.4,11.37399577167019,5.41
2020,november,london,278.35,shared room,false,false,yes,3.4,5.0,6.26,1.635847,46.118062,4.138266384778013,20.3,24.0
2015,july,barcelona,239.91002745512148,entire home/apt,false,true,yes,3.3,2.0,1.29,27.251158,41.30418,4.8,22.7,8.1
2019,may,istanbul,71.85,entire home/apt,true,true,no,3.1,4.0,6.77,289649.52,52.984345,5.0,6.7,13.406927138331573
2020,september,london,239.91002745512148,private room,true,false,no,3.9,4.0,4.54,17.594719,52.010264,4.5,11.9,13.406927138331573
2021,january,barcelona,259.89,shared room,true,false,yes,3.2,1.0,3.81,624716.81,45.990542,3.4,2.12,4.4
2015,august,brussels,277.5,entire home/apt,false,false,yes,4.0,2.0,7.28,27778.172614387302,42.28256,4.2,1.8,4.8
2021,july,amsterdam,63.73,entire home/apt,false,false,no,3.6,1.0,9.42,349681.81,46.493388,3.3,7.1,24.6
2021,june,prague,66.512,shared room,false,true,no,4.6,2.0,8.4,593486.21,57.372861,3.6,0.32,24.3
2023,february,barcelona,267.91,shared room,false,false,yes,3.6,4.0,5.28,-2.285502,460287.74,4.7,19.8,0.5
2022,august,paris,372.41,shared room,true,false,no,74.0,5.0,3.13,2.880924,44.939269,3.3,19.8,18.1
2015,march,barcelona,137.87,entire home/apt,true,false,no,4.4,5.0,2.27,18.678596,42.22146,4.0,14.4,13.406927138331573
2022,july,rome,387.89,entire home/apt,true,true,yes,4.0,2.0,3.23,-9.187193,64570.488407405915,3.5,4.32,7.8
2016,may,rome,94.79,shared room,true,true,yes,4.1723991507431,5.0,2.75,-2.26607,45.895655,4.8,7.6,4.6
2019,november,brussels,298.86,private room,false,false,yes,4.1723991507431,5.0,6.76,13.604354,53.801319,4.9,14.4,1.3
2017,march,brussels,185.95,shared room,true,false,yes,3.2,1.0,3.3,27778.172614387302,52.236056,3.7,9.81,19.9
2022,august,istanbul,355.81,shared room,true,false,yes,3.5,1.0,4.75,19.4643,50.390517,3.3,5.9,8.7
2018,august,london,15.731,entire home/apt,false,false,yes,3.6,2.0,70.6,19.860448,54.559761,3.7,12.3,29.9
2017,may,istanbul,205.43,private room,true,true,yes,4.8,3.0,5.82,0.392839,42.564913,4.2,11.37399577167019,16.6
2021,march,rome,210.73,shared room,false,true,no,4.1723991507431,5.0,2.9,4.930686,52.425124,4.1,10.0,6.1
2016,december,amsterdam,130.47,shared room,true,true,no,4.6,4.0,5.31,-8.088083,42.65317,4.138266384778013,11.37399577167019,2.2
2017,july,paris,371.02,private room,false,false,no,4.1723991507431,4.0,2.65,7.510862,53.723844,4.3,6.9,14.6
2018,may,istanbul,239.91002745512148,shared room,false,true,no,3.6,5.0,2.82,23.770741,371446.35,2.4,5.7,10.6
2015,november,amsterdam,397.87,entire home/apt,false,false,yes,3.6,4.0,9.79,7.443437,52.095714,4.5,9.8,6.3
2019,february,barcelona,406.77,private room,false,true,no,4.7,4.0,9.5,19.174978,57.149355,4.1,13.6,22.4
2015,may,barcelona,138.01,shared room,false,false,yes,3.8,3.0,3.59,22.471873,416889.04,6.3,10.1,1.7
2016,august,barcelona,58.12,private room,true,true,yes,3.5,5.0,1.56,1.434691,43.120814,3.5,19.7,9.5
2020,april,london,239.91002745512148,entire home/apt,true,true,no,3.8,5.0,7.37,27778.172614387302,46.150014,3.9,11.1,1.5
2021,march,prague,332.4,entire home/apt,true,true,yes,4.3,5.0,2.92,869335.11,45.508983,3.5,12.7,1.2
2015,december,paris,221.34,entire home/apt,false,false,yes,1.3,5.0,5.1,12.489028,154853.75,4.1,2.7,2.6
2016,march,paris,202.11,private room,true,false,no,4.2,1.0,11.772669491525424,5.621372,49.44043,4.138266384778013,7.9,12.2
2021,august,barcelona,441.19,entire home/apt,false,false,yes,3.6,4.0,5.8,-4.36975,56.653073,4.7,20.3,17.0
2020,january,barcelona,355.39,private room,true,false,no,4.1,5.0,4.93,-0.421628,42.998866,4.2,23.7,9.82
2021,february,amsterdam,475.02,entire home/apt,true,true,yes,3.3,4.0,1.77,-755480.7,40.895718,3.5,12.9,8.4
2022,march,london,452.73,shared room,true,false,no,3.1,3.0,3.19,27778.172614387302,54.020135,4.5,8.3,11.3
2022,june,barcelona,303.32,entire home/apt,true,true,yes,5.4,5.0,0.87,25.22134,52.741745,3.7,19.3,3.31
2021,may,paris,86.913,shared room,false,false,yes,8.3,3.0,0.53,1.871109,59.610876,4.8,20.0,1.91
2015,october,brussels,348.38,entire home/apt,true,true,yes,4.5,1.0,9.47,21.701358,64570.488407405915,3.2,20.1,15.9
2021,september,paris,124.98,entire home/apt,true,true,no,3.6,5.0,1.03,23.09467,64570.488407405915,3.3,12.0,11.8
2015,april,prague,154.21,entire home/apt,false,false,no,5.0,3.0,7.99,0.475229,48.308723,4.5,19.3,4.3
2015,april,london,432.97,private room,false,false,no,8.3,4.0,7.35,27.543266,50.392735,3.9,4.9,20.8
2016,december,paris,288.3,entire home/apt,false,true,yes,4.9,1.0,3.6,0.961228,52.558285,3.5,11.37399577167019,19.9
2017,march,paris,131.85,private room,false,false,no,4.1,1.0,99.8,11.794725,46.664861,3.6,16.2,0.21
2022,december,london,179.33,entire home/apt,false,false,yes,3.1,5.0,9.77,1.863643,41.741593,4.6,4.1,3.8
2021,november,brussels,226.61,entire home/apt,true,true,no,4.1723991507431,3.0,11.772669491525424,-4.657537,58.033386,4.1,14.4,13.406927138331573
2015,november,paris,239.91002745512148,private room,false,false,no,4.3,1.0,9.23,27778.172614387302,145769.24,3.3,1.7,1.3
2023,november,barcelona,64.912,entire home/apt,false,true,yes,3.1,3.0,4.81,-8.832446,64570.488407405915,3.1,11.37399577167019,4.9
2020,august,paris,427.83,entire home/apt,false,true,yes,3.4,3.0,5.36,-1.882584,54.444143,3.5,20.8,13.406927138331573
2017,january,barcelona,457.58,shared room,true,false,no,4.1723991507431,2.0,78.2,22.649898,47.260635,3.8,3.6,7.4
2021,february,brussels,265.7,private room,false,true,yes,4.9,5.0,3.43,11.842974,51.22252,3.3,20.0,9.2
2016,may,prague,470.38,entire home/apt,true,false,yes,4.4,5.0,78.6,20.842314,53.210978,5.0,11.37399577167019,25.3
2022,june,amsterdam,222.94,private room,true,true,no,4.1723991507431,5.0,11.772669491525424,-0.475637,43.626443,3.6,21.1,16.4
2018,february,istanbul,226.87,entire home/apt,false,false,no,4.6,3.0,9.34,8.346396,47.018281,5.0,11.8,29.4
2017,august,paris,186.77,private room,true,false,yes,3.2,4.0,3.9,-4.364409,46.373792,4.8,11.4,18.5
2019,may,prague,214.31,entire home/apt,true,true,yes,4.3,3.0,7.19,10.890085,41.640885,9.3,1.6,4.62
2015,may,amsterdam,383.99,private room,false,false,yes,6.4,3.0,9.22,10.149995,48.311968,4.6,5.2,24.9
2017,january,paris,421.27,private room,false,true,yes,4.1,3.0,0.84,27778.172614387302,41.87858,7.3,9.32,25.0
2017,november,london,211.38,private room,false,true,no,3.9,2.0,24.4,27778.172614387302,41.803981,3.8,5.2,16.0
2016,may,paris,461.71,entire home/apt,false,false,no,0.4,5.0,1.28,9.434945,59.847272,4.0,4.7,29.6
2023,may,amsterdam,209.99,private room,false,true,yes,5.4,2.0,2.73,14.890984,48.093689,5.0,21.1,19.8
2021,june,amsterdam,42.313,shared room,false,false,no,3.2,5.0,1.28,-2.303936,43.760175,3.2,2.2,25.0
2020,november,istanbul,65.99,shared room,false,true,yes,4.1,2.0,9.57,21.11576,52.230387,4.9,17.5,1.1
2022,september,prague,437.57,entire home/apt,true,false,no,3.1,4.0,2.15,27778.172614387302,40.034337,4.7,19.3,13.406927138331573
2017,august,istanbul,102.42,entire home/apt,false,false,yes,3.5,3.0,1.7,17.270634,42.995493,4.3,7.5,5.8
2021,may,prague,231.02,shared room,false,false,no,4.1723991507431,2.0,11.772669491525424,21.39353,47.59349,4.6,1.8,9.8
2022,may,amsterdam,189.98,entire home/apt,false,false,yes,3.1,4.0,1.01,15.232169,333844.34,4.138266384778013,13.2,2.81
2021,march,istanbul,401.54,shared room,true,false,no,4.3,2.0,7.33,19.886241,43.598679,4.6,7.9,22.7
2020,may,paris,386.74,shared room,true,false,yes,3.6,4.0,7.72,20.811487,47.579624,4.4,23.5,7.3
2017,may,brussels,230.25,shared room,false,false,yes,3.9,3.0,0.63,28.114211,41.623418,4.1,11.5,10.3
2020,july,brussels,239.91002745512148,entire home/apt,false,false,yes,9.3,4.0,8.78,29.876549,48.250724,4.3,18.3,16.9
2021,november,paris,170.74,private room,false,false,no,4.8,1.0,7.74,-518077.3,41.504435,4.1,2.8,25.5
2017,november,london,404.0,entire home/apt,true,true,no,6.3,4.0,11.772669491525424,27.788448,55.130047,3.2,9.0,26.2
2015,january,paris,239.91002745512148,shared room,true,true,no,4.5,2.0,6.32,19.245963,51.878364,3.5,11.37399577167019,15.4
2019,may,paris,331.11,entire home/apt,true,false,yes,4.7,5.0,7.48,23.57731,64570.488407405915,4.0,10.3,16.9
2020,september,paris,208.82,entire home/apt,false,false,no,3.0,3.0,11.772669491525424,18.676537,784600.94,4.8,11.37399577167019,23.2
2015,october,istanbul,171.08,shared room,false,false,no,3.8,3.0,9.9,14.474305,43.246844,4.0,20.2,6.7
2018,september,paris,397.81,shared room,false,false,no,3.5,2.0,9.75,-0.117863,64570.488407405915,3.3,19.6,20.6
2017,june,prague,92.9,entire home/apt,true,true,yes,4.6,5.0,4.93,13.637212,268034.54,4.4,6.8,12.4
2018,december,london,235.98,private room,false,true,no,4.1723991507431,5.0,8.41,27778.172614387302,50.028791,4.138266384778013,23.1,13.0
2021,march,amsterdam,473.82,private room,true,false,yes,4.1723991507431,3.0,9.46,-3.309726,56.762343,4.6,11.37399577167019,13.406927138331573
2015,january,barcelona,11.024,private room,false,false,yes,4.1723991507431,1.0,8.1,6.588103,51.194865,4.8,11.37399577167019,13.406927138331573
2015,october,rome,239.91002745512148,entire home/apt,true,true,yes,3.9,3.0,3.47,19.638266,45.166211,4.138266384778013,11.37399577167019,9.3
2023,july,london,92.161,shared room,true,false,no,4.1723991507431,3.0,7.65,28.897166,59.413419,4.2,13.3,3.2
2020,september,london,467.47,entire home/apt,false,false,yes,3.2,5.0,9.88,15.176794,53.531078,4.4,23.5,11.5
2018,september,barcelona,279.68,entire home/apt,false,false,no,4.6,1.0,2.86,-1.863078,54.595956,4.5,5.0,20.1
2023,january,paris,332.76,entire home/apt,false,true,yes,4.0,3.0,9.82,-5.603635,56.853283,3.6,3.5,10.1
2017,may,london,239.91002745512148,shared room,false,true,yes,3.8,3.0,4.25,27778.172614387302,48.046863,4.4,8.6,5.3
2016,august,london,44.35,entire home/apt,false,false,no,3.6,1.0,99.6,-4.185131,41.588007,3.5,22.3,28.2
2021,january,paris,131.86,private room,true,false,yes,0.4,2.0,6.61,25.375713,50.315847,4.6,3.0,13.406927138331573
2018,may,amsterdam,380.43,private room,true,true,no,4.8,4.0,4.9,25.866728,43.413609,1.4,9.6,25.2
2022,december,paris,239.91002745512148,entire home/apt,false,false,yes,2.3,1.0,2.66,29.538017,45227.54,4.3,1.7,13.7
2018,july,paris,463.05,entire home/apt,false,false,no,3.2,1.0,6.2,27778.172614387302,52.28787,3.2,11.6,25.0
2015,october,rome,248.2,entire home/apt,false,false,yes,4.9,1.0,5.65,28.32452,47.412623,5.0,7.6,6.2
2016,november,paris,1.443,entire home/apt,false,false,yes,3.3,3.0,4.76,-7.481428,44.950736,4.7,12.9,3.4
2021,july,istanbul,328.66,shared room,true,true,yes,3.3,3.0,8.37,-2.181727,54.683509,4.6,4.5,13.406927138331573
2015,september,brussels,128.01,shared room,false,true,no,4.1,3.0,1.19,-3.632122,49.157045,4.7,13.4,22.2
2021,october,prague,67.404,entire home/apt,true,true,no,4.1723991507431,1.0,5.31,27778.172614387302,394710.04,3.1,19.2,13.406927138331573
2019,october,brussels,214.0,private room,false,false,yes,3.1,3.0,14.4,8.664591,41.135537,4.138266384778013,2.91,11.6
2018,june,brussels,494.67,private room,true,false,yes,3.7,1.0,8.3,25.886694,44.086366,4.9,12.9,15.1
2018,june,barcelona,85.77,entire home/apt,true,false,no,4.6,1.0,5.64,-1.94535,49.669507,3.4,12.2,10.0
2023,may,brussels,318.29,entire home/apt,false,false,no,4.6,3.0,11.772669491525424,-9.753443,53.807164,3.2,11.37399577167019,2.1
2023,may,brussels,311.3,entire home/apt,true,false,yes,4.1723991507431,4.0,11.772669491525424,9.216699,47.631631,4.0,11.37399577167019,13.406927138331573
2021,may,amsterdam,239.91002745512148,private room,false,false,yes,3.8,3.0,79.0,17.572687,59.354616,9.4,11.37399577167019,10.1
2015,october,barcelona,239.91002745512148,entire home/apt,true,false,yes,3.5,4.0,8.85,-8.116881,54.641792,4.4,18.4,29.7
2019,january,barcelona,462.69,entire home/apt,false,true,no,4.1723991507431,1.0,8.51,24.251961,49.478124,4.7,23.4,7.0
2021,january,rome,431.0,private room,false,false,no,3.1,4.0,3.37,9.785697,45.408537,3.6,7.5,13.406927138331573
2022,december,amsterdam,200.46,entire home/apt,false,true,yes,4.4,1.0,8.89,18.415279,40.855428,3.8,7.0,9.1
2022,july,istanbul,388.27,private room,true,true,yes,4.7,1.0,2.89,13.431431,56.675025,4.7,11.37399577167019,12.5
2015,october,rome,379.9,private room,false,false,yes,3.5,1.0,5.55,939142.02,976839.35,4.7,4.0,8.3
2017,july,prague,114.74,shared room,false,false,no,3.5,-5.0,81.5,20.128181,40.765913,3.9,9.7,19.6
2023,december,prague,357.43,private room,false,false,no,4.6,5.0,9.62,23.735046,55.414452,4.0,6.0,16.5
2023,august,rome,489.26,entire home/apt,true,true,yes,3.9,2.0,7.36,17.04695,53.816239,3.5,17.8,27.0
2021,may,istanbul,173.17,shared room,true,false,yes,4.9,2.0,26.1,21.232829,54.497552,3.7,15.1,8.0
2021,june,istanbul,147.67,entire home/apt,true,false,no,4.8,1.0,8.76,-7.922381,64570.488407405915,4.8,18.1,11.3
2021,may,london,448.89,shared room,false,true,no,4.7,3.0,7.4,20.545119,54.837238,4.138266384778013,10.0,4.52
2015,may,paris,388.82,private room,true,true,yes,3.3,4.0,4.47,27778.172614387302,46.493136,3.1,3.8,15.7
2021,may,prague,331.8,entire home/apt,true,false,yes,4.6,4.0,8.31,7.801894,59.179773,4.138266384778013,22.4,2.11
2020,july,brussels,286.42,entire home/apt,false,false,yes,5.0,1.0,7.72,20.524288,64570.488407405915,4.3,7.3,19.0
2023,june,istanbul,436.12,shared room,true,false,yes,5.4,1.0,79.2,17.408639,57.911039,4.138266384778013,15.1,16.9
2022,february,rome,6.36,entire home/apt,false,true,no,3.7,5.0,4.53,27778.172614387302,49.218182,3.4,11.37399577167019,10.5
2022,april,amsterdam,285.05,entire home/apt,false,true,no,3.0,3.0,4.9,16.864993,46.679588,4.4,22.0,8.8
2018,august,london,220.15,private room,false,true,yes,3.4,5.0,5.38,16.378448,47.045259,4.9,17.9,21.4
2022,october,brussels,79.782,private room,true,false,no,4.3,2.0,9.8,12.703102,55.13218,4.3,11.6,13.5
2017,august,istanbul,200.98,shared room,true,false,no,4.2,2.0,0.5,11.210809,40.382331,3.5,9.1,13.406927138331573
2015,september,brussels,217.02,entire home/apt,true,true,no,3.9,2.0,69.9,9.318785,57.720095,4.3,11.37399577167019,25.7
2021,february,london,392.64,entire home/apt,true,false,yes,4.9,5.0,9.07,8.236699,43.774372,3.1,2.71,22.3
2020,november,brussels,487.37,private room,false,false,yes,4.3,2.0,4.21,-5.940484,64570.488407405915,4.0,11.37399577167019,7.1
2021,june,brussels,239.91002745512148,shared room,false,false,no,3.8,4.0,3.8,3.359644,64570.488407405915,4.138266384778013,9.0,20.9
2022,november,prague,431.14,shared room,false,false,yes,4.3,1.0,6.48,12.749827,58.647288,4.1,12.7,6.9
2015,may,rome,124.28,private room,false,false,yes,4.1723991507431,3.0,8.17,4.124238,48.483832,5.0,10.7,7.1
2017,december,rome,489.08,entire home/apt,true,true,no,3.2,3.0,1.65,27.663194,54.985284,4.0,17.0,8.6
2022,august,amsterdam,239.91002745512148,private room,false,true,no,4.0,1.0,3.64,-7.229042,54.573963,4.138266384778013,23.9,6.6
2020,august,paris,240.62,entire home/apt,false,false,yes,3.1,3.0,11.772669491525424,17.627423,64570.488407405915,3.9,22.3,4.72
2021,may,prague,357.88,entire home/apt,true,false,no,1.4,3.0,1.63,27778.172614387302,564225.74,4.138266384778013,18.8,23.6
2015,march,london,155.86,shared room,false,true,yes,4.4,1.0,7.04,9.726577,739886.45,3.4,8.1,18.1
2015,may,amsterdam,267.32,entire home/apt,true,true,yes,4.6,4.0,7.08,182462.5,57.920577,4.1,10.7,24.3
2019,december,barcelona,405.11,shared room,true,true,no,4.7,3.0,9.89,796031.3,601835.65,4.5,21.6,13.406927138331573
2021,may,prague,144.97,entire home/apt,true,true,yes,3.9,5.0,4.64,-5.96264,57.350225,4.3,4.6,22.9
2019,may,london,142.5,private room,true,false,no,3.1,5.0,6.3,28.552771,55.160646,4.6,6.4,16.3
2015,december,london,238.95,entire home/apt,true,false,yes,4.4,4.0,5.1,20.86013,47.767889,3.7,8.81,15.7
2018,may,london,6.384,private room,true,true,yes,4.2,3.0,35.4,-7.433714,49.318646,3.1,11.37399577167019,13.406927138331573
2019,october,amsterdam,84.66,entire home/apt,false,false,yes,0.4,1.0,4.6,15.694229,51.936256,7.4,15.9,16.9
2016,april,amsterdam,119.75,entire home/apt,false,true,yes,1.3,4.0,9.95,-2.192399,40.705161,4.2,13.9,16.2
2021,september,london,422.14,private room,true,true,no,4.2,1.0,7.7,929721.31,58.07687,4.0,12.3,28.2
2022,july,barcelona,355.72,shared room,true,true,yes,3.9,3.0,7.67,-4.056427,64570.488407405915,3.5,7.4,13.2
2016,february,rome,7.19,private room,false,false,no,4.4,2.0,3.52,0.020496,44.409622,3.6,22.5,12.8
2020,may,paris,231.94,entire home/apt,false,true,no,4.9,4.0,2.02,22.203358,47.076698,4.1,3.0,9.3
2022,february,istanbul,275.7,private room,false,false,no,3.9,2.0,1.69,1.499808,64570.488407405915,3.3,23.7,16.9
2022,january,paris,189.26,entire home/apt,false,false,no,4.5,2.0,4.33,6.725527,64570.488407405915,4.8,10.4,12.0
2015,june,paris,331.06,entire home/apt,true,false,no,3.1,5.0,50.3,21.365406,48.702038,4.1,1.7,23.9
2023,october,barcelona,98.45,entire home/apt,false,true,yes,3.4,1.0,11.772669491525424,27778.172614387302,59.813647,4.138266384778013,7.9,3.4
2022,june,rome,184.53,entire home/apt,true,false,yes,4.1,4.0,7.34,20.000659,53.469106,4.2,7.2,24.0
2020,november,london,128.54,entire home/apt,true,true,no,4.1723991507431,1.0,5.46,3.144385,125066.35,4.138266384778013,19.3,28.4
2015,july,brussels,24.712,entire home/apt,false,true,yes,3.4,3.0,3.16,-2.4675,52.89055,3.7,6.0,0.7
2023,december,paris,48.142,shared room,false,false,no,3.7,3.0,11.772669491525424,-9.73246,890714.85,4.8,8.5,4.5
2020,october,istanbul,67.44,private room,false,true,no,4.1723991507431,1.0,1.03,363095.4,461371.55,3.8,3.1,7.31
2016,june,istanbul,188.14,private room,false,true,yes,4.5,4.0,42.5,7.890534,64570.488407405915,2.4,23.5,3.9
2023,january,paris,239.91002745512148,entire home/apt,true,true,yes,0.5,1.0,2.28,22.43636,55.846572,3.7,11.37399577167019,22.2
2023,december,brussels,282.32,shared room,false,true,no,4.9,1.0,3.24,27778.172614387302,44.929114,4.4,8.9,21.9
2017,may,brussels,443.3,shared room,true,false,yes,3.5,3.0,4.12,16.191715,56.893803,4.5,11.5,21.1
2018,january,prague,239.91002745512148,entire home/apt,false,false,no,3.6,4.0,15.6,27778.172614387302,55.249022,3.5,1.5,22.2
2016,september,istanbul,302.72,shared room,false,true,yes,4.5,2.0,8.25,-9.899709,41.722274,4.9,1.8,1.2
2016,march,istanbul,65.121,shared room,false,true,yes,4.1,2.0,3.81,2.456101,723202.14,3.5,4.51,16.1
2023,january,rome,167.67,private room,false,false,no,5.0,4.0,6.5,-2.433896,56.555582,2.4,21.9,9.4
2021,april,paris,411.53,private room,false,false,yes,8.3,2.0,4.72,27778.172614387302,45.49554,4.6,5.6,5.6
2021,august,barcelona,192.86,shared room,false,true,yes,4.1723991507431,3.0,4.66,-4.93076,50.866877,4.2,10.1,13.406927138331573
2018,december,paris,324.03,private room,true,true,yes,4.8,5.0,4.36,3.819251,52.320771,3.8,19.6,13.406927138331573
2020,april,istanbul,153.88,private room,true,true,yes,3.5,3.0,9.4,23.951006,64570.488407405915,3.9,16.2,23.1
2019,december,paris,279.64,shared room,false,false,yes,4.1,3.0,11.772669491525424,9.62979,59.169072,4.7,6.0,22.9
2016,february,paris,239.91002745512148,shared room,false,false,no,4.6,3.0,5.9,27778.172614387302,42.707594,3.7,4.8,17.2
2022,may,london,310.65,entire home/apt,false,false,yes,4.2,5.0,4.21,1.475051,53.940351,3.7,18.8,29.8
2015,february,amsterdam,322.69,entire home/apt,true,false,yes,4.1723991507431,2.0,11.772669491525424,14.737666,53.787177,3.4,22.2,22.8
2021,february,istanbul,384.98,shared room,false,false,yes,4.1,1.0,8.45,0.599816,49.843935,2.4,12.5,13.0
2022,april,amsterdam,239.91002745512148,entire home/apt,false,true,yes,4.9,4.0,4.98,10.150195,142383.05,4.2,17.9,1.22
2016,august,amsterdam,334.51,private room,false,false,no,4.0,3.0,3.84,21.61732,40.224132,4.4,0.51,13.9
2016,october,paris,201.27,entire home/apt,false,true,yes,3.2,5.0,9.69,16.071181,49.180501,3.8,11.37399577167019,10.3
2018,september,london,239.91002745512148,shared room,true,true,yes,4.5,3.0,4.75,3.460842,50.039482,3.5,23.7,1.8
2022,may,istanbul,194.89,entire home/apt,false,true,yes,4.4,1.0,5.54,1.94828,64570.488407405915,5.3,21.8,1.9
2016,may,brussels,213.19,shared room,false,false,no,4.9,4.0,2.72,5.772703,221823.95,3.6,17.8,23.4
2022,december,rome,55.49,private room,false,false,yes,4.6,1.0,61.5,27778.172614387302,290560.15,4.6,11.8,13.406927138331573
2020,november,rome,26.104,entire home/apt,true,true,no,3.4,3.0,6.07,-579762.6,59.155769,3.9,10.1,3.2
2015,august,london,30.212,private room,false,true,no,4.1723991507431,3.0,4.01,24.004161,585686.25,4.0,19.8,6.61
2021,october,amsterdam,431.82,entire home/apt,false,true,no,4.1723991507431,3.0,7.07,-0.552639,59.445623,5.3,21.4,3.3
2015,may,amsterdam,38.011,shared room,false,true,no,4.1723991507431,4.0,2.53,27778.172614387302,43.630431,4.3,20.8,3.0
2015,january,rome,81.47,shared room,true,true,yes,4.0,3.0,11.772669491525424,18.863317,50.41083,4.7,1.3,13.406927138331573
2023,september,brussels,200.45,entire home/apt,false,true,yes,4.6,3.0,0.57,-2.461608,55.022267,1.4,18.6,15.9
2015,february,istanbul,212.1,shared room,false,true,no,3.6,1.0,72.8,-9.858827,55.197699,4.6,1.9,7.32
2021,october,london,272.06,shared room,false,true,yes,4.5,2.0,2.4,0.63321,55.137437,4.138266384778013,19.3,26.4
2021,february,barcelona,98.22,entire home/apt,true,false,yes,4.2,3.0,1.03,-525626.8,42.615626,3.4,11.37399577167019,17.8
2021,december,paris,76.984,entire home/apt,false,true,yes,4.9,2.0,4.84,25.270828,51.922117,4.0,17.3,18.2
2019,december,paris,486.21,entire home/apt,false,false,yes,4.0,2.0,1.19,27.513791,51.080733,4.1,0.71,5.3
2017,january,prague,183.51,private room,false,false,no,4.1723991507431,4.0,4.82,15.121283,748752.35,4.8,13.9,1.5
2015,november,istanbul,131.4,private room,true,false,yes,4.6,1.0,2.47,24.047502,525113.55,4.138266384778013,9.1,23.9
2022,december,barcelona,28.173,shared room,true,true,yes,3.2,2.0,8.3,27778.172614387302,41.120591,3.3,17.2,13.8
